,Name,Stocktype,Mileage_(Miles),Price,Ext_color,Int_color,Transmission,Body_style,Model_Year,Car_Age_Year,Car_Make,Car_Model,Car_Trim
2925,2007 Nissan Xterra S,Used,"132,354 mi.",8788,Silver,Gray,Automatic,SUV,2007-01-01,13.47,Nissan,Xterra,S
2926,1999 Ford Ranger,Used,"183,401 mi.",5988,White,Gray,Manual,Regular Cab Pickup,1999-01-01,21.47,Ford,Ranger,Ranger
2928,2005 Honda CR-V LX,Used,"143,858 mi.",7995,Red,Beige,Automatic,SUV,2005-01-01,15.47,Honda,CR-V,LX
2929,2008 Jeep Compass Sport,Used,"136,018 mi.",4995,Silver,Gray,Manual,SUV,2008-01-01,12.47,Jeep,Compass,Sport
2930,2008 Chrysler PT Cruiser 98K 1 OWNER,Used,"98,536 mi.",3995,Black,Gray,Automatic,Wagon,2008-01-01,12.47,Chrysler,PT,OWNER
2931,2002 Chevrolet Blazer LS,Used,"86,011 mi.",5995,White,Gray,Automatic,SUV,2002-01-01,18.47,Chevrolet,Blazer,LS
2933,1996 Honda Accord LX,Used,"160,841 mi.",2495,Blue,Blue,Manual,Sedan,1996-01-01,24.48,Honda,Accord,LX
2934,2004 Jeep Grand Cherokee Limited,Used,"141,202 mi.",5995,Gray,Gray,Automatic,SUV,2004-01-01,16.47,Jeep,Grand,Limited
2935,2003 GMC Yukon SLE,Used,210 mi.,5000,Black,Beige,Automanual,Cargo Van,2003-01-01,17.47,GMC,Yukon,SLE
2936,2010 Volkswagen Touareg V6 TDI,Used,"126,339 mi.",12500,Gray,Other,Automatic,SUV,2010-01-01,10.47,Volkswagen,Touareg,TDI
2937,2011 Kia Forte EX,Used,"131,594 mi.",6200,White,Other,Automatic,Sedan,2011-01-01,9.47,Kia,Forte,EX
2938,2004 Volkswagen Golf GLS TDI,Used,"80,081 mi.",6990,Other,Other,Manual,Hatchback,2004-01-01,16.47,Volkswagen,Golf,TDI
2939,2012 Volkswagen GTI 2-Door,Used,"67,141 mi.",11990,Gray,Other,Manual,Hatchback,2012-01-01,8.47,Volkswagen,GTI,2-Door
2940,2011 Nissan Juke SV,Used,"69,122 mi.",8990,Silver,Black,CVT,SUV,2011-01-01,9.47,Nissan,Juke,SV
2941,2010 Chevrolet Tahoe LT,Used,"155,220 mi.",12990,Gray,Gray,Automatic,SUV,2010-01-01,10.47,Chevrolet,Tahoe,LT
2942,2012 Honda CR-V LX,Used,"74,356 mi.",13990,Red,Gray,Automatic,SUV,2012-01-01,8.47,Honda,CR-V,LX
