,Name,Stocktype,Mileage (Miles),Price,Ext_color,Int_color,Transmission,Drivetrain
2697,2010 Audi A4 2.0T Prestige,Used,"111,249 mi.","$7,800",Red,Black,Automatic,AWD
2698,2009 BMW X5 xDrive30i,Used,"84,775 mi.","$10,495",Black,Brown,Automatic,AWD
2699,2001 Toyota 4Runner SR5,Used,"222,004 mi.","$5,990",Gold,Brown,Automatic,RWD
2700,2015 Kia Rio EX,Used,"23,343 mi.","$11,998",Gray,Black,Automatic,FWD
2701,2006 Chevrolet HHR LT,Used,"145,550 mi.","$4,977",Black,Gray,Automatic,FWD
2702,2009 Honda Accord EX-L,Used,"155,918 mi.","$7,977",Red,Other,Automatic,FWD
2703,2017 Nissan Sentra SR Turbo,Used,"28,613 mi.","$14,230",Gray,Gray,CVT,FWD
2704,2008 Audi A6 3.2 Avant quattro,Used,"150,000 mi.","$5,995",Other,Black,Automatic,AWD
2705,2013 Honda Ridgeline RTL,Used,"293,904 mi.","$8,495",Red,Beige,Automatic,drive
2706,2015 Dodge Journey SXT,Used,"155,372 mi.","$8,995",Black,Other,Automatic,AWD
2707,2004 Jeep Grand Cherokee Limited,Used,"223,794 mi.","$5,788",Silver,Black,Automatic,drive
2708,2014 Ford Mustang V6,Used,"105,285 mi.","$10,495",White,Black,Automatic,RWD
2709,2014 Acura MDX 3.5L Technology Package,Used,"184,000 mi.","$13,999",Gray,Gray,Automatic,AWD
2710,2011 Hyundai Sonata SE 2.0T,Used,"133,750 mi.","$8,999",Silver,Gray,Automatic,FWD
2711,2008 Acura TL Type S w/Navigation,Used,"100,890 mi.","$12,998",Gray,White,Automatic,FWD
2712,2011 Toyota Corolla LE,Used,"101,151 mi.","$9,998",Black,Beige,Automatic,FWD
2713,1999 Chevrolet Astro,Used,"141,661 mi.","$7,977",Green,Other,Automatic,RWD
2714,2012 INFINITI M37 Base,Used,"98,000 mi.","$11,900",White,Black,Automatic,RWD
2715,2006 Honda Odyssey EX-L,Used,"207,132 mi.","$4,700",Silver,Gray,Automatic,FWD
2716,2004 Mercury Grand Marquis LS Premium,Used,"110,423 mi.","$5,477",Red,Other,Automatic,RWD
2717,2007 Hummer H3,Used,"178,907 mi.","$8,977",Black,Black,Manual,drive
2718,1999 Cadillac Eldorado Base,Used,"124,000 mi.","$3,977",White,Other,Automatic,FWD
2719,2001 Chevrolet Astro,Used,"179,000 mi.","$5,995",White,Gray,Automatic,RWD
2720,2018 Nissan Versa 1.6 SV,Nissan Certified,"38,461 mi.","$13,765",Red,Gray,CVT,FWD
